Model,Format,Language,Original_Accuracy,Shuffled_Accuracy,Original_RSD,Shuffled_RSD,Original_RStd,Shuffled_RStd,Fluctuation_Rate,Original_CKLD,Shuffled_CKLD
gemini,base_format,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
gemini,base_format,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gemini,json_format,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
gemini,json_format,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gemini,xml_format,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
gemini,xml_format,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gemini,json_input_text_output,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
gemini,json_input_text_output,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gemini,text_input_json_output,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
gemini,text_input_json_output,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mistral,base_format,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
mistral,base_format,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mistral,json_format,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
mistral,json_format,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mistral,xml_format,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
mistral,xml_format,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mistral,json_input_text_output,en,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
mistral,json_input_text_output,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mistral,text_input_json_output,en,1.0,0.8333333333333334,0.0,0.282842712474619,0.0,0.23570226039551584,0.5,0.0,0.08720802395203717
mistral,text_input_json_output,zh,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
